UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
BA;MANSIDÃO;VEREADOR;GERVASIO JOSE DE OLIVEIRA NETO;GERVASIO JOSE;ELEITO POR QP
BA;LAPÃO;VEREADOR;GEORGES ANTARES VILELA DA SILVA;GEORGE DA SATUR;ELEITO POR QP
BA;MAIQUINIQUE;VEREADOR;LWANDERSON EZEQUIEL BRITO DOS SANTOS;EZEQUIEL FERRAZ;ELEITO POR QP
MA;CÂNDIDO MENDES;VEREADOR;JADENILDE TEIXEIRA SILVA;JADE;ELEITO POR QP
PI;BATALHA;VEREADOR;KUAN DA SILVA MORAES;KAUAN MORAES;ELEITO POR QP
SP;MONTE ALEGRE DO SUL;VEREADOR;JOÃO BASILIO DE SOUZA GOULART;JOÃO BASILIO;ELEITO POR QP
CE;SOLONÓPOLE;VEREADOR;NILTOM CESAR BASTOS LOPES;CESINHA;ELEITO POR QP
MA;TUNTUM;VEREADOR;LAECYO FABRICYO COELHO DE SOUSA;FABRICIO COELHO;ELEITO POR QP
MG;PARÁ DE MINAS;VEREADOR;MÁRCIA FLAVIA MARZAGÃO ALBANO;MÁRCIA MARZAGÃO;ELEITO POR QP
CE;BEBERIBE;VEREADOR;EDEMILSON DA COSTA SANTOS;LOURO DO PAREDÃO;ELEITO POR QP
BA;QUEIMADAS;VEREADOR;FÁBIO VASCO SILVA;FÁBIO PROFESSOR;ELEITO POR QP
BA;MUCUGÊ;VEREADOR;NOA AZEVEDO RAMOS BITTENCOURT;NOA AZEVEDO;ELEITO POR QP
BA;QUEIMADAS;VEREADOR;AGNALDO DOS SANTOS COELHO;NETO;ELEITO POR QP
CE;CAMOCIM;VEREADOR;MARCOS ANTONIO SILVA VERAS COELHO;MARCOS COELHO;ELEITO POR QP
CE;IBICUITINGA;VEREADOR;TAIZA CRISTIELE DA COSTA GOMES;TAIZA CRISTIELE;ELEITO POR QP
CE;MORRINHOS;VEREADOR;TÉRLIA MARIA OLIVEIRA LEORNE;TÉRLIA  LEORNE;ELEITO POR QP
CE;JAGUARETAMA;VEREADOR;JOSÉ AURILO PEIXOTO;AURILO PEIXOTO;ELEITO POR QP
CE;JAGUARETAMA;VEREADOR;SAMYLLA SALDANHA FÉRRER OLIVEIRA;SAMYLLA FÉRRER;ELEITO POR QP
CE;TRAIRI;VEREADOR;GERLANE PINTO BARBOSA;GERLANE DO TONHÃO;ELEITO POR QP
GO;ABADIA DE GOIÁS;VEREADOR;JAIRO PEREIRA MARINHO;JAIRO MARINHO;ELEITO POR QP
ES;CACHOEIRO DE ITAPEMIRIM;VEREADOR;EVANDRO MIRANDA;VANDINHO DA PADARIA;ELEITO POR QP
GO;ANÁPOLIS;VEREADOR;CARLOS ANTONIO DOS SANTOS;CARLIM DA FEIRA;ELEITO POR QP
GO;ANÁPOLIS;VEREADOR;REAMILTON GONCALVES ESPINDOLA DE ATHAYDE;REAMILTON DO AUTISMO;ELEITO POR QP
MA;SANTA LUZIA DO PARUÁ;VEREADOR;LUCINETE COSTA SANTOS;NOVINHA;ELEITO POR QP
MG;ARACITABA;VEREADOR;LAURO DE SOUZA E OLIVEIRA;LAURO DO CHICO ANTERO;ELEITO POR QP
GO;QUIRINÓPOLIS;VEREADOR;LUCAS DE OLIVEIRA MACIEL;LUCAS COWBOY;ELEITO POR QP
GO;NOVO BRASIL;VEREADOR;JOÃO BATISTA GOMES;JOÃO BAIANO;ELEITO POR QP
GO;PALMELO;VEREADOR;JACQUELYNE KAMENACH;DRA JACQUELYNE;ELEITO POR QP
SC;IRANI;VEREADOR;ANTONIO MARCOS GUARESKI;ANTONIO GUARESKI;ELEITO POR QP
GO;UIRAPURU;VEREADOR;AILTON ALVES DE PAULA;AILTON BORRACHEIRO;ELEITO POR QP
MG;BOCAIÚVA;VEREADOR;JEFFERSON CARLEY ANDRADE LEITE;JEFFERSON CARLEY;ELEITO POR QP
SC;ASCURRA;VEREADOR;TONI ANGELO BUZZI;TONI;ELEITO POR QP
SP;BRAGANÇA PAULISTA;VEREADOR;AMERICO MASSAKI HIGUTI;CORONEL AMÉRICO;ELEITO POR QP
SC;DIONÍSIO CERQUEIRA;VEREADOR;EVANDRO TRESSOLDI DE ALMEIDA VARGAS;EVANDRO VARGAS;ELEITO POR QP
SC;MORRO GRANDE;VEREADOR;GEACIR DE STEFANI SOUZA;NEGUINHO DA SAÚDE;ELEITO POR QP
SC;SANTO AMARO DA IMPERATRIZ;VEREADOR;ANDERSON MACHADO;ANDERSON MACHADO;ELEITO POR QP
MA;PRIMEIRA CRUZ;VEREADOR;LAURO DA SILVA XAVIER DOS SANTOS;LAURINHO;ELEITO POR QP
SC;SÃO MIGUEL DA BOA VISTA;VEREADOR;EVANDRO MARCIO CANZI;EVANDRO MARCIO CANZI;ELEITO POR QP
MA;SANTO AMARO DO MARANHÃO;VEREADOR;ISAÍAS DA SILVA BARROS;ISAÍAS DO SATUBA;ELEITO POR QP
SP;ORINDIÚVA;VEREADOR;RAFAEL GUILHERME RODRIGUES DIAS;RAFAEL DO MIRIM;ELEITO POR QP
SC;BOM JESUS;VEREADOR;JORGE ENDRYGO BRINKER;JORGE BRINKER;ELEITO POR QP
