SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
PA;MELGAÄO;VEREADOR;ALCILENE DOS SANTOS ALMEIDA;PROFESSORA CILENE ALMEIDA;PA;26/02/1986;ELEITO POR MêDIA
CE;SENADOR Sµ;PREFEITO;SABRINA MORAIS LOPES;SABRINA DO BEL;CE;05/12/1995;ELEITO
PR;S«O JO«O;PREFEITO;JONI ZANELLA FERREIRA;JONI ZANELLA FERREIRA;PR;06/06/1994;ELEITO
SP;GUARµ;PREFEITO;TULIO DE MATTOS FIGUEIREDO;DR. TULIO;SP;05/06/1966;ELEITO
PA;BENEVIDES;PREFEITO;LUZIANE DE LIMA SOLON OLIVEIRA;LUZIANE SOLON;PA;03/05/1980;ELEITO
PB;LOGRADOURO;PREFEITO;JOSê MARINALDO DA CRUZ;MARINALDO CRUZ;PB;21/03/1973;ELEITO
BA;MANSID«O;VEREADOR;GERVASIO JOSE DE OLIVEIRA NETO;GERVASIO JOSE;BA;21/10/1983;ELEITO POR QP
BA;LAP«O;VEREADOR;GEORGES ANTARES VILELA DA SILVA;GEORGE DA SATUR;BA;23/04/1972;ELEITO POR QP
BA;TAPEROµ;VEREADOR;RELINE PAIX«O DA HORA;RELINE DA PESCA;BA;01/05/1981;ELEITO POR MêDIA
BA;EUNµPOLIS;PREFEITO;JOSê ROBêRIO BATISTA DE OLIVEIRA;ROBêRIO OLIVEIRA;BA;12/03/1964;ELEITO
BA;MAIQUINIQUE;VEREADOR;LWANDERSON EZEQUIEL BRITO DOS SANTOS;EZEQUIEL FERRAZ;BA;26/03/1992;ELEITO POR QP
PI;CAMPO MAIOR;PREFEITO;JO«O FêLIX DE ANDRADE FILHO;JO«OZINHO FêLIX;PI;30/11/1959;ELEITO
MA;C∂NDIDO MENDES;VEREADOR;JADENILDE TEIXEIRA SILVA;JADE;MA;08/04/1985;ELEITO POR QP
PI;BATALHA;VEREADOR;KUAN DA SILVA MORAES;KAUAN MORAES;PI;13/04/2003;ELEITO POR QP
AM;APU÷;PREFEITO;ANT‚NIO MARCOS MACIEL FERNANDES;MARQUINHOS MACIL;PR;27/08/1975;ELEITO
SP;MONTE ALEGRE DO SUL;VEREADOR;JO«O BASILIO DE SOUZA GOULART;JO«O BASILIO;SP;21/02/2000;ELEITO POR QP
CE;SOLON‡POLE;VEREADOR;NILTOM CESAR BASTOS LOPES;CESINHA;CE;08/12/1969;ELEITO POR QP
MA;TUNTUM;VEREADOR;LAECYO FABRICYO COELHO DE SOUSA;FABRICIO COELHO;MA;26/05/1985;ELEITO POR QP
MG;PARµ DE MINAS;VEREADOR;MµRCIA FLAVIA MARZAG«O ALBANO;MµRCIA MARZAG«O;MG;29/06/1984;ELEITO POR QP
CE;BEBERIBE;VEREADOR;EDEMILSON DA COSTA SANTOS;LOURO DO PARED«O;CE;19/12/1981;ELEITO POR QP
CE;BATURITê;VICE-PREFEITO;FRANCISCO CARLOS LOURENÄO FREITAS;IRM«O CARLINHOS;CE;11/01/1968;ELEITO
BA;QUEIMADAS;VEREADOR;FµBIO VASCO SILVA;FµBIO PROFESSOR;BA;28/05/1980;ELEITO POR QP
BA;MUCUG“;VEREADOR;NOA AZEVEDO RAMOS BITTENCOURT;NOA AZEVEDO;BA;30/11/2005;ELEITO POR QP
BA;QUEIMADAS;VEREADOR;AGNALDO DOS SANTOS COELHO;NETO;BA;17/12/1971;ELEITO POR QP
